year,dividend_per_share,previous_year,growth,growth_percent
1994,1.2,,,
1995,1.6,1.2,0.4,33.33
1996,1.6,1.6,0.0,0.0
1997,1.8,1.6,0.2,12.5
1998,1.8,1.8,0.0,0.0
1999,2.5,1.8,0.7,38.89
2000,4.4,2.5,1.9,76.0
2001,4.75,4.4,0.35,7.95
2002,4.75,4.75,0.0,0.0
2003,6.55,4.75,1.8,37.89
2004,7.85,6.55,1.3,19.85
2005,10.0,7.85,2.15,27.39
2006,7.75,10.0,-2.25,-22.5
2007,8.5,7.75,0.75,9.68
2008,0.0,8.5,-8.5,-100.0
2009,0.0,0.0,0.0,
2010,0.0,0.0,0.0,
2011,0.0,0.0,0.0,
2012,0.0,0.0,0.0,
2013,2.0,0.0,2.0,
2014,5.5,2.0,3.5,175.0
2015,8.0,5.5,2.5,45.45
2016,9.0,8.0,1.0,12.5
2017,10.0,9.0,1.0,11.11
2018,8.5,10.0,-1.5,-15.0
2019,0.0,8.5,-8.5,-100.0
2020,2.0,0.0,2.0,
2021,2.0,2.0,0.0,0.0
2022,0.0,2.0,-2.0,-100.0
2023,14.5,0.0,14.5,
2024,22.2,14.5,7.7,53.1
